logg,Teff,u,a,b
2.5,1500,1.0458,1.1605,-0.1704
3,1500,1.0227,1.2133,-0.2832
3.5,1500,1.0344,1.2794,-0.3642
4,1500,1.085,1.4811,-0.589
4.5,1500,1.2569,2.1886,-1.3862
5,1500,1.1736,1.7921,-0.9205
5.5,1500,1.1218,1.6779,-0.8277
2.5,1600,0.9624,0.8691,0.1386
3,1600,0.9376,0.9152,0.0334
3.5,1600,0.9567,1.0048,-0.0715
4,1600,0.9745,1.0571,-0.1228
4.5,1600,1.0116,1.1957,-0.2738
5,1600,1.0364,1.2864,-0.372
5.5,1600,1.0761,1.4354,-0.5349
2.5,1700,0.8906,0.6582,0.3453
3,1700,0.8823,0.7844,0.1454
3.5,1700,0.9004,0.8556,0.0666
4,1700,0.9146,0.9072,0.0111
4.5,1700,0.9205,0.9042,0.0242
5,1700,0.9559,0.9928,-0.055
5.5,1700,1.0142,1.1787,-0.2448
2.5,1800,0.9043,0.7289,0.2607
3,1800,0.7788,0.572,0.3072
3.5,1800,0.8332,0.7278,0.1567
4,1800,0.8466,0.7567,0.1336
4.5,1800,0.8737,0.8036,0.1042
5,1800,0.8985,0.8552,0.0644
5.5,1800,0.9341,0.9455,-0.017
2.5,1900,0.8882,0.7338,0.2294
3,1900,0.8497,0.796,0.0798
3.5,1900,0.8082,0.7259,0.1224
4,1900,0.8145,0.7346,0.1188
4.5,1900,0.8066,0.6839,0.1825
5,1900,0.8413,0.7317,0.163
5.5,1900,0.8687,0.7746,0.1401
2.5,2000,0.9358,0.8719,0.095
3,2000,0.8664,0.8786,-0.0181
3.5,2000,0.8266,0.8133,0.0197
4,2000,0.8261,0.8089,0.0256
4.5,2000,0.8316,0.7856,0.0684
5,2000,0.8089,0.6979,0.1652
5.5,2000,0.814,0.6658,0.2205
2.5,2100,0.9881,1.0182,-0.0447
3,2100,0.9276,1.0185,-0.1349
3.5,2100,0.8804,0.9648,-0.1253
4,2100,0.8366,0.8692,-0.0486
4.5,2100,0.8079,0.7845,0.0348
5,2100,0.8016,0.7232,0.1168
5.5,2100,0.8075,0.6858,0.1812
2.5,2200,1.0029,1.0226,-0.0294
3,2200,0.9555,1.0222,-0.0991
3.5,2200,0.9324,1.0577,-0.1861
4,2200,0.8922,0.9908,-0.1466
4.5,2200,0.8561,0.8951,-0.058
5,2200,0.7963,0.7597,0.0545
5.5,2200,0.7761,0.6643,0.1664
2.5,2300,1.0441,1.106,-0.092
3,2300,1.0014,1.1338,-0.1968
3.5,2300,0.9787,1.0994,-0.1794
4,2300,0.9442,1.0755,-0.1953
4.5,2300,0.8961,0.9632,-0.0999
5,2300,0.8369,0.8516,-0.0219
5.5,2300,0.7724,0.6807,0.1364
2.5,2400,1.0741,1.1033,-0.0433
3,2400,1.0253,1.0983,-0.1084
3.5,2400,1.0052,1.1027,-0.1449
4,2400,0.9739,1.068,-0.1399
4.5,2400,0.9483,1.0403,-0.1368
5,2400,0.8789,0.9114,-0.0484
5.5,2400,0.8148,0.7951,0.0293
2.5,2500,1.0929,1.0969,-0.0059
3,2500,1.0423,1.0484,-0.0091
3.5,2500,1.0142,1.048,-0.0501
4,2500,0.9992,1.055,-0.083
4.5,2500,0.9718,1.0253,-0.0796
5,2500,0.9278,0.9727,-0.0668
5.5,2500,0.8723,0.891,-0.0279
2.5,2600,1.0874,1.0504,0.055
3,2600,1.0401,1.0025,0.0559
3.5,2600,1.0089,0.9794,0.0439
4,2600,0.9916,0.9746,0.0252
4.5,2600,0.9783,0.9838,-0.0082
5,2600,0.9499,0.9691,-0.0286
5.5,2600,0.9071,0.9195,-0.0184
2.5,2700,1.0603,0.9407,0.1777
3,2700,1.0293,0.9535,0.1126
3.5,2700,0.9916,0.9145,0.1145
4,2700,0.9705,0.8921,0.1166
4.5,2700,0.9616,0.9004,0.0911
5,2700,0.9499,0.9154,0.0513
5.5,2700,0.9202,0.9043,0.0237
2.5,2800,1.0429,0.8583,0.2745
3,2800,1.0116,0.8928,0.1765
3.5,2800,0.9664,0.8502,0.1727
4,2800,0.939,0.8183,0.1794
4.5,2800,0.9288,0.8132,0.172
5,2800,0.9227,0.8298,0.1382
5.5,2800,0.9116,0.8561,0.0826
2.5,2900,1.0174,0.7603,0.3822
3,2900,0.9875,0.8196,0.2495
3.5,2900,0.9495,0.8171,0.1967
4,2900,0.916,0.7801,0.2019
4.5,2900,0.8854,0.7372,0.2203
5,2900,0.8806,0.7409,0.2079
5.5,2900,0.8762,0.7745,0.1514
2.5,3000,1.0044,0.6797,0.4827
3,3000,0.9668,0.729,0.3531
3.5,3000,0.9317,0.7785,0.2275
4,3000,0.8808,0.734,0.2182
4.5,3000,0.8627,0.7073,0.2311
5,3000,0.8377,0.6702,0.2492
5.5,3000,0.8364,0.6904,0.2173
5,3100,0.6693,0.4364,0.3467
5.5,3100,0.6848,0.4539,0.3438
3,3200,0.8232,0.7168,0.1581
3.5,3200,0.7451,0.5693,0.2612
4,3200,0.6874,0.4764,0.3137
2.5,3300,0.8724,0.7809,0.1356
3,3300,0.8414,0.7894,0.0771
5,3300,0.6162,0.3791,0.3528
5.5,3300,0.6097,0.3672,0.3611
2.5,3400,0.8751,0.7805,0.1401
3,3400,0.8233,0.7849,0.057
3.5,3400,0.7645,0.6515,0.1679
4,3400,0.6935,0.512,0.2698
4.5,3400,0.6363,0.4182,0.3244
5,3400,0.5993,0.3631,0.3515
5.5,3400,0.5827,0.3384,0.3636
2.5,3500,0.8809,0.7785,0.1517
3,3500,0.8151,0.7883,0.0396
3.5,3500,0.7487,0.6554,0.1385
4,3500,0.6873,0.5195,0.2495
4.5,3500,0.6278,0.4154,0.3159
5,3500,0.5422,0.3191,0.3321
5.5,3500,0.5602,0.3172,0.3618
2.5,3600,0.8935,0.7812,0.1662
3,3600,0.8158,0.8208,-0.0074
3.5,3600,0.7516,0.6734,0.1161
4,3600,0.6826,0.5263,0.2323
4.5,3600,0.6195,0.4124,0.3079
5,3600,0.5717,0.3418,0.3421
5.5,3600,0.5418,0.3024,0.3564
2.5,3700,0.8989,0.7625,0.2019
3,3700,0.8367,0.846,-0.0138
3.5,3700,0.7737,0.7321,0.0617
4,3700,0.6896,0.5492,0.2087
4.5,3700,0.6147,0.4146,0.2976
5,3700,0.5621,0.336,0.3364
5.5,3700,0.5271,0.2915,0.3507
2.5,3800,0.8999,0.7283,0.2542
3,3800,0.8394,0.8335,0.0088
3.5,3800,0.7796,0.7526,0.0402
4,3800,0.6977,0.5801,0.1747
4.5,3800,0.6176,0.4304,0.2783
5,3800,0.5558,0.3364,0.3263
5.5,3800,0.5161,0.2859,0.3426
2.5,3900,0.8926,0.6823,0.3114
3,3900,0.8344,0.7986,0.0531
3.5,3900,0.7938,0.7921,0.0024
4,3900,0.7066,0.6207,0.1275
4.5,3900,0.6217,0.4586,0.2425
5,3900,0.5566,0.3486,0.3095
5.5,3900,0.5105,0.2869,0.3328
3,4000,0.822,0.7594,0.0928
3.5,4000,0.7975,0.7956,0.0027
4,4000,0.7307,0.6723,0.0868
4.5,4000,0.6442,0.5068,0.2043
5,4000,0.5625,0.3715,0.2843
5.5,4000,0.5097,0.2968,0.3168
2.5,4100,0.8722,0.5962,0.4086
3,4100,0.8145,0.723,0.1358
3.5,4100,0.789,0.7743,0.0219
4,4100,0.7499,0.7125,0.0556
4.5,4100,0.6754,0.569,0.1583
5,4100,0.5858,0.4189,0.2483
5.5,4100,0.5202,0.3191,0.2993
2.5,4200,0.8634,0.5665,0.4396
3,4200,0.8031,0.6927,0.1637
3.5,4200,0.7769,0.7504,0.0393
4,4200,0.7638,0.7428,0.0311
4.5,4200,0.6966,0.6217,0.1114
5,4200,0.6129,0.4742,0.2064
5.5,4200,0.5327,0.3522,0.2685
2.5,4300,0.8564,0.541,0.4669
3,4300,0.794,0.6696,0.1844
3.5,4300,0.7655,0.729,0.0541
4,4300,0.7575,0.74,0.0259
4.5,4300,0.7201,0.667,0.079
5,4300,0.6493,0.5366,0.1676
5.5,4300,0.5675,0.4023,0.2458
2.5,4400,0.8502,0.5186,0.4909
3,4400,0.7863,0.6494,0.2031
3.5,4400,0.757,0.7123,0.0664
4,4400,0.7481,0.7246,0.035
4.5,4400,0.7381,0.7027,0.0526
5,4400,0.6779,0.5924,0.1272
5.5,4400,0.5966,0.458,0.2062
2.5,4500,0.8442,0.4976,0.5131
3,4500,0.7795,0.6265,0.2268
3.5,4500,0.7488,0.6957,0.0787
4,4500,0.7398,0.7071,0.0486
4.5,4500,0.7321,0.701,0.0462
5,4500,0.7047,0.6372,0.1005
5.5,4500,0.632,0.5147,0.1745
2.5,4800,0.8284,0.4278,0.5931
3,4800,0.7603,0.5591,0.2983
3.5,4800,0.7244,0.6462,0.1161
4,4800,0.7148,0.6583,0.0839
4.5,4800,0.7076,0.6557,0.0772
5,4800,0.7062,0.6593,0.0698
5.5,4800,0.6881,0.6164,0.1068
3,5000,0.7041,0.6087,0.1414
3.5,5000,0.6932,0.6165,0.1139
4,5000,0.6869,0.6119,0.1114
4.5,5000,0.6861,0.6147,0.1061
5,5000,0.6834,0.6067,0.1141
5.5,5000,0.6712,0.5841,0.1296
3,5100,0.6964,0.5957,0.1492
3.5,5100,0.6825,0.5949,0.13
4,5100,0.6773,0.5959,0.1209
4.5,5100,0.6759,0.5971,0.1172
5,5100,0.6728,0.5869,0.1279
5.5,5100,0.6614,0.5654,0.1429
3,5200,0.6891,0.5843,0.1554
3.5,5200,0.6742,0.5819,0.137
4,5200,0.6681,0.5811,0.1293
4.5,5200,0.6662,0.5808,0.1269
5,5200,0.6625,0.5682,0.1403
