# BJD     Detrended data    Detrended data errors,   Original data   Original data errors    Model applied 
2458930.2403893       0.9999282       0.0008931      0.9999404      0.0008931      1.0000122
2458930.3889189       1.0001486       0.0008838      1.0001609      0.0008839      1.0000122
2458930.5881601       0.9999898       0.0008779      1.0000021      0.0008779      1.0000122
2458930.7871858       0.9999945       0.0008769      1.0000068      0.0008769      1.0000122
2458930.9851772       0.9999406       0.0008753      0.9999528      0.0008753      1.0000122
2458931.1837215       0.9997951       0.0008698      0.9998073      0.0008698      1.0000122
2458931.3830241       1.0001045       0.0008641      1.0001168      0.0008641      1.0000122
2458931.5816079       1.0001677       0.0008621      1.0001800      0.0008621      1.0000122
2458931.7802211       1.0002135       0.0008628      1.0002258      0.0008628      1.0000122
2458931.9790884       1.0001659       0.0008618      1.0001781      0.0008618      1.0000122
2458932.1774472       1.0000736       0.0008599      1.0000858      0.0008599      1.0000122
2458932.3754146       0.9999308       0.0008558      0.9999431      0.0008558      1.0000122
2458932.5746731       0.9997098       0.0008552      0.9997221      0.0008552      1.0000122
2458932.7732859       0.9998972       0.0008563      0.9999094      0.0008563      1.0000122
2458932.9717422       0.9998205       0.0008556      0.9998327      0.0008556      1.0000122
2458933.1694870       0.9999791       0.0008548      0.9999913      0.0008548      1.0000122
2458933.3687892       1.0000906       0.0008517      1.0001029      0.0008518      1.0000122
2458933.5672223       0.9997718       0.0008518      0.9997840      0.0008518      1.0000122
2458933.7597671       1.0000283       0.0008522      1.0000406      0.0008522      1.0000122
2458933.9609508       0.9999238       0.0008520      0.9999361      0.0008520      1.0000122
2458934.1504665       0.9997139       0.0008516      0.9997262      0.0008516      1.0000122
2458934.3613562       0.9998967       0.0008495      0.9999090      0.0008495      1.0000122
2458934.5631558       1.0003141       0.0008498      1.0003263      0.0008498      1.0000122
2458934.7553340       1.0000711       0.0008503      1.0000834      0.0008503      1.0000122
2458934.9557926       1.0001502       0.0008497      1.0001625      0.0008497      1.0000122
2458935.1485685       1.0000149       0.0008492      1.0000271      0.0008493      1.0000122
2458935.3409311       1.0003319       0.0008481      1.0003441      0.0008481      1.0000122
2458935.5573316       0.9998726       0.0008481      0.9998848      0.0008481      1.0000122
2458935.7428358       1.0001298       0.0008477      1.0001420      0.0008478      1.0000122
2458935.9430076       1.0000306       0.0008475      1.0000429      0.0008475      1.0000122
2458936.1632705       0.9999500       0.0008468      0.9999623      0.0008468      1.0000122
2458936.3441398       0.9998647       0.0008460      0.9998770      0.0008460      1.0000122
2458936.5427514       0.9999943       0.0008459      1.0000066      0.0008459      1.0000122
2458936.7413629       0.9999492       0.0008451      0.9999614      0.0008451      1.0000122
2458936.9399744       0.9997020       0.0008441      0.9997143      0.0008441      1.0000122
2458937.1386249       0.9997134       0.0008430      0.9997256      0.0008430      1.0000122
2458937.3371970       0.9997452       0.0008419      0.9997575      0.0008419      1.0000122
2458937.5352172       0.9999161       0.0008413      0.9999283      0.0008413      1.0000122
2458937.7344194       0.9999053       0.0008412      0.9999175      0.0008412      1.0000122
2458937.9344193       1.0000710       0.0008412      1.0000833      0.0008413      1.0000122
2458938.1348465       1.0000262       0.0008411      1.0000385      0.0008411      1.0000122
2458938.3358078       1.0001205       0.0008414      1.0001328      0.0008414      1.0000122
2458938.5371963       0.9997985       0.0008412      0.9998108      0.0008412      1.0000122
2458938.7385848       1.0000365       0.0008412      1.0000487      0.0008412      1.0000122
2458938.9404747       1.0001034       0.0008411      1.0001157      0.0008411      1.0000122
2458939.1413613       1.0001399       0.0008412      1.0001521      0.0008413      1.0000122
