logg,Teff,a,b
2.5,2300,0.3685,0.5069
3,2300,0.3895,0.4724
3.5,2300,0.4372,0.4266
4,2300,0.4846,0.3947
4.5,2300,0.5084,0.3663
5,2300,0.5221,0.3406
5.5,2300,0.4723,0.3571
6,2300,0.4487,0.3688
2.5,2400,0.3279,0.5202
3,2400,0.3381,0.4957
3.5,2400,0.3753,0.473
4,2400,0.4303,0.4394
4.5,2400,0.4859,0.4011
5,2400,0.4759,0.4064
5.5,2400,0.4665,0.3962
6,2400,0.4443,0.3961
2.5,2500,0.2995,0.5208
3,2500,0.291,0.5076
3.5,2500,0.3129,0.5033
4,2500,0.3577,0.4856
4.5,2500,0.4166,0.4546
5,2500,0.4723,0.4172
5.5,2500,0.4326,0.4481
6,2500,0.4235,0.4328
2.5,2600,0.2916,0.5145
3,2600,0.2604,0.5062
3.5,2600,0.2626,0.5157
4,2600,0.2903,0.515
4.5,2600,0.3363,0.5091
5,2600,0.3858,0.489
5.5,2600,0.4373,0.4517
6,2600,0.4559,0.4296
2.5,2700,0.3023,0.4981
3,2700,0.2446,0.5012
3.5,2700,0.2292,0.5121
4,2700,0.2396,0.5223
4.5,2700,0.2636,0.5363
5,2700,0.3025,0.5408
5.5,2700,0.347,0.5211
6,2700,0.4272,0.4242
2.5,2800,0.3267,0.4821
3,2800,0.2399,0.5006
3.5,2800,0.2089,0.5054
4,2800,0.2053,0.5153
4.5,2800,0.2164,0.5335
5,2800,0.2423,0.5479
5.5,2800,0.2755,0.5493
2.5,2900,0.3507,0.4801
3,2900,0.2489,0.4926
3.5,2900,0.2025,0.4948
4,2900,0.1859,0.5026
4.5,2900,0.1863,0.5198
5,2900,0.1998,0.5387
5.5,2900,0.2275,0.552
6,2900,0.2702,0.5468
2.5,3000,0.4018,0.4459
3,3000,0.2654,0.4844
3.5,3000,0.2018,0.4909
4,3000,0.1764,0.4908
4.5,3000,0.1693,0.5023
5.5,3000,0.1933,0.5347
6,3000,0.223,0.543
2.5,3100,0.477,0.4006
3,3100,0.2884,0.4757
3.5,3100,0.2131,0.4819
4,3100,0.1758,0.4812
4.5,3100,0.1621,0.4852
5,3100,0.1606,0.4974
5.5,3100,0.1709,0.5136
6,3100,0.1894,0.5286
2.5,3200,0.4573,0.3914
3,3200,0.3305,0.4512
3.5,3200,0.2355,0.4668
4,3200,0.1874,0.466
4.5,3200,0.1618,0.47
5,3200,0.1533,0.4776
5.5,3200,0.1567,0.492
6,3200,0.1711,0.5075
2.5,3300,0.467,0.3612
3,3300,0.3756,0.4071
3.5,3300,0.2632,0.4472
4,3300,0.205,0.4477
4.5,3300,0.171,0.4514
5,3300,0.1529,0.4604
5.5,3300,0.1496,0.472
6,3300,0.1543,0.4899
2.5,3400,0.4705,0.3374
3,3400,0.4023,0.348
3.5,3400,0.3037,0.3998
4,3400,0.2271,0.4253
4.5,3400,0.1819,0.4364
5,3400,0.1555,0.4459
5.5,3400,0.1442,0.4583
6,3400,0.1401,0.4779
2.5,3500,0.5016,0.2768
3,3500,0.4598,0.2736
3.5,3500,0.3449,0.3477
4,3500,0.2536,0.3933
4.5,3500,0.1959,0.4178
5,3500,0.1604,0.4325
5.5,3500,0.1394,0.4478
6,3500,0.1293,0.4665
2.5,3600,0.5324,0.2372
3,3600,0.5251,0.1949
3.5,3600,0.4001,0.2854
4,3600,0.2865,0.3586
4.5,3600,0.2125,0.3984
5,3600,0.1671,0.4201
5.5,3600,0.139,0.438
6,3600,0.1198,0.4593
2.5,3700,0.5624,0.2059
3,3700,0.5627,0.1516
3.5,3700,0.4622,0.2268
4,3700,0.329,0.3207
4.5,3700,0.2315,0.3808
5,3700,0.1737,0.4118
5.5,3700,0.139,0.4303
6,3700,0.1152,0.4527
2.5,3800,0.5833,0.1816
3,3800,0.5789,0.1392
3.5,3800,0.5138,0.1844
4,3800,0.3809,0.2823
4.5,3800,0.2581,0.3609
5,3800,0.1828,0.4015
5.5,3800,0.14,0.4242
6,3800,0.1126,0.4451
2.5,3900,0.5718,0.2059
3,3900,0.5797,0.1409
3.5,3900,0.5608,0.1375
4,3900,0.4293,0.2388
4.5,3900,0.2946,0.3316
5,3900,0.1991,0.3902
5.5,3900,0.1448,0.4156
6,3900,0.1131,0.4365
2.5,4000,0.5595,0.2153
3,4000,0.5648,0.1617
3.5,4000,0.5678,0.1357
4,4000,0.4764,0.2025
4.5,4000,0.339,0.2994
5,4000,0.226,0.3679
5.5,4000,0.1569,0.4038
6,4000,0.1188,0.4219
2.5,4100,0.5456,0.2213
3,4100,0.5468,0.1797
3.5,4100,0.5505,0.1543
4,4100,0.5164,0.1702
4.5,4100,0.3955,0.2618
5,4100,0.2673,0.3371
5.5,4100,0.1783,0.3879
6,4100,0.1287,0.4111
2.5,4200,0.529,0.231
3,4200,0.5304,0.1909
3.5,4200,0.536,0.1638
4,4200,0.5369,0.1494
4.5,4200,0.4429,0.2201
5,4200,0.3163,0.3025
5.5,4200,0.216,0.3515
6,4200,0.1468,0.3947
2.5,4300,0.512,0.2422
3,4300,0.5172,0.1959
3.5,4300,0.5218,0.1719
4,4300,0.5255,0.1538
4.5,4300,0.4834,0.1895
5,4300,0.3713,0.2687
5.5,4300,0.2551,0.3385
6,4300,0.1735,0.3746
2.5,4400,0.4951,0.2532
3,4400,0.5029,0.2035
3.5,4400,0.5081,0.1789
4,4400,0.5143,0.1598
4.5,4400,0.5098,0.1592
5,4400,0.4223,0.2217
5.5,4400,0.3054,0.3008
6,4400,0.207,0.3605
2.5,4500,0.4794,0.2623
3,4500,0.489,0.2085
3.5,4500,0.4942,0.1866
4,4500,0.5021,0.1649
4.5,4500,0.5037,0.1581
5,4500,0.4589,0.199
5.5,4500,0.3558,0.2717
6,4500,0.2506,0.3297
2.5,4600,0.4649,0.2692
3,4600,0.4739,0.2197
3.5,4600,0.4802,0.1941
4,4600,0.4884,0.1727
4.5,4600,0.4913,0.1645
5,4600,0.4827,0.1727
5.5,4600,0.4014,0.2348
6,4600,0.2966,0.3008
2.5,4700,0.4534,0.2702
3,4700,0.461,0.225
3.5,4700,0.4666,0.2011
4,4700,0.475,0.1798
4.5,4700,0.4776,0.1729
5,4700,0.4794,0.1702
5.5,4700,0.4341,0.2126
6,4700,0.3403,0.278
2.5,4800,0.4416,0.2763
3,4800,0.4469,0.233
3.5,4800,0.4539,0.2067
4,4800,0.4612,0.1879
4.5,4800,0.4642,0.1807
5,4800,0.4697,0.1744
5.5,4800,0.4574,0.187
6,4800,0.3818,0.2435
2.5,4900,0.4307,0.2796
3,4900,0.4356,0.2367
3.5,4900,0.4421,0.2114
4,4900,0.4495,0.1914
4.5,4900,0.4508,0.1887
5,4900,0.4563,0.1826
5.5,4900,0.4547,0.1847
6,4900,0.404,0.2331
2.5,5100,0.4152,0.2817
3,5100,0.4201,0.2343
3.5,5100,0.4253,0.2077
4,5100,0.421,0.2031
4.5,5100,0.4244,0.1961
5,5100,0.4282,0.1925
5.5,5100,0.435,0.185
6,5100,0.4216,0.2013
2.5,5200,0.4083,0.2825
3,5200,0.4128,0.235
3.5,5200,0.4179,0.2078
4,5200,0.411,0.2061
4.5,5200,0.4136,0.1999
5,5200,0.4164,0.1975
5.5,5200,0.4229,0.1908
6,5200,0.4114,0.207
2.5,5300,0.3987,0.2865
3,5300,0.4075,0.2321
3.5,5300,0.4013,0.2202
4,5300,0.402,0.2082
4.5,5300,0.4036,0.2028
5,5300,0.4058,0.2007
5.5,5300,0.4071,0.2029
6,5300,0.3987,0.2125
2.5,5400,0.3928,0.2878
3,5400,0.3998,0.2341
3.5,5400,0.3952,0.2193
4,5400,0.3943,0.2089
4.5,5400,0.3947,0.2049
5,5400,0.3968,0.2011
5.5,5400,0.3842,0.2167
6,5400,0.3854,0.2189
2.5,5500,0.3859,0.2899
3,5500,0.3884,0.2405
3.5,5500,0.387,0.2228
4,5500,0.3861,0.2114
4.5,5500,0.3862,0.2061
5,5500,0.3876,0.2035
5.5,5500,0.372,0.2222
6,5500,0.3727,0.2247
2.5,5600,0.3783,0.294
3,5600,0.3797,0.2481
3.5,5600,0.3801,0.2248
4,5600,0.3789,0.2128
4.5,5600,0.3785,0.2075
5,5600,0.3632,0.221
5.5,5600,0.3609,0.2252
6,5600,0.3604,0.2298
2.5,5700,0.3704,0.2985
3,5700,0.3739,0.249
3.5,5700,0.3741,0.2255
4,5700,0.3726,0.2129
4.5,5700,0.371,0.2094
5,5700,0.3536,0.2239
5.5,5700,0.3502,0.2287
6,5700,0.349,0.234
2.5,5800,0.3622,0.3078
3,5800,0.3661,0.2532
3.5,5800,0.3704,0.2275
4,5800,0.3662,0.214
4.5,5800,0.3495,0.2247
5,5800,0.3444,0.2266
5.5,5800,0.3402,0.2317
6,5800,0.3384,0.2373
2.5,5900,0.3539,0.3109
3,5900,0.3594,0.2554
3.5,5900,0.3596,0.2317
4,5900,0.3599,0.215
4.5,5900,0.3454,0.2253
5,5900,0.3359,0.2288
5.5,5900,0.3347,0.2324
